Đội,Trung vị,Giá trị trung bình ,Độ lệch chuẩn,Giá trị trung bình
Brentford,9.0,,6.596211033616193,9.52
Brentford,44.7,,17.41760520319865,48.30833333333334
Brentford,7.0,,10.65754818583211,10.4
Brentford,43.85,,18.10018766417246,40.3875
Brentford,358.0,,291.9176995889994,436.12
Brentford,1958.0,,1443.7627552106105,2238.68
Brentford,864.0,,833.209881522457,1163.04
Brentford,16.0,,17.13641347151342,19.64
Brentford,12.0,,12.778627991037744,14.28
Brentford,3.0,,9.089737803332577,6.04
Brentford,18.0,,17.49047359755209,22.0
Brentford,8.0,,8.958608522905031,10.56
Brentford,417.0,,326.5562126188997,493.72
Brentford,32.0,,51.43711370855354,50.12
Brentford,82.0,,7.54983443527075,81.4
Brentford,6.0,,9.91766101457395,9.88
Brentford,3.0,,6.378871373526825,6.24
Brentford,17.5,,9.625003513801573,16.545454545454547
Brentford,1.0,,7.994789970140971,4.4
Brentford,1.05,,0.21110581864711042,1.0463999999999998
Brentford,21.0,,15.019653790950043,24.56
Brentford,29.0,,17.342337404936703,28.44
Brentford,-4.0,,6.050619802962338,-3.88
Brentford,23.8,,15.102845206560692,24.448
Brentford,1.8,,4.215479411249291,0.988
Brentford,12.0,,10.922759114192104,15.16
Brentford,15.0,,13.257073583562851,16.6
Brentford,2.0,,3.950527390952589,2.76
Brentford,16.0,,30.57466271277575,27.68
Brentford,0.0,,0.0,0.0
Brentford,62.0,,51.1254339834881,75.32
Brentford,14.0,,26.833250517470542,25.24
Brentford,23.0,,16.849826903166296,24.0
Brentford,45.6,,17.682956667982285,46.050000000000004
Arsenal,27.0,,10.191266102006402,26.80952380952381
Arsenal,18.0,,13.093073414159543,19.857142857142858
Arsenal,1649.0,,1102.7458715147643,1781.5714285714287
Arsenal,2.0,,3.9809068122249536,3.619047619047619
Arsenal,2.0,,3.9809068122249536,3.619047619047619
Arsenal,2.0,,3.1380916251153423,2.9523809523809526
Arsenal,2.0,,2.765432886117298,2.9523809523809526
Arsenal,0.0,,0.3007926037591192,0.09523809523809523
Arsenal,1.6,,4.28780663210058,3.7142857142857144
Arsenal,1.6,,3.6045209707492933,3.342857142857143
Arsenal,1.4,,3.0691165162756837,2.6619047619047618
Arsenal,17.0,,42.665531978959535,38.95238095238095
Arsenal,72.0,,94.09648037545092,99.61904761904762
Arsenal,37.0,,130.50259986463325,98.85714285714286
Arsenal,0.12,,0.18884233786793833,0.18285714285714286
Arsenal,0.17,,0.1514894307172867,0.16238095238095238
Arsenal,0.25,,0.28076002293095514,0.34523809523809523
Arsenal,0.12,,0.1764531503989495,0.15571428571428572
Arsenal,0.25,,0.24063012517732926,0.3185714285714286
Arsenal,0.12,,0.1816210078052384,0.19809523809523805
Arsenal,0.13,,0.1250961534942127,0.13904761904761903
Arsenal,0.24,,0.26793922551845334,0.3371428571428572
Arsenal,0.12,,0.16512333053119505,0.17571428571428568
Arsenal,0.24,,0.23348702421374615,0.31523809523809526
Arsenal,2.0,,4.742412486327628,4.095238095238095
Arsenal,17.0,,29.866608205725097,30.714285714285715
Arsenal,5.0,,10.143494279116846,9.904761904761905
Arsenal,31.6,,10.280200125478252,28.784210526315793
Arsenal,1.34,,1.2234198749718719,1.6319047619047617
Arsenal,0.3,,0.436800597418046,0.5038095238095238
Arsenal,0.1,,0.08519327870696201,0.10368421052631578
Arsenal,0.33999999999999997,,0.23014062197350765,0.34
Arsenal,15.6,,4.484463106852943,16.252631578947366
Arsenal,0.0,,0.9561828874675148,0.2857142857142857
Arsenal,0.0,,1.3645163106041502,0.47619047619047616
